acl 2.2.53-1
adwaita-icon-theme 3.30.0-1
alsa-lib 1.1.7-1
alsa-plugins 1.1.7-1
alsa-utils 1.1.7-1
amd-ucode 20181018.d877533-1
aom 1.0.0-1
arc-gtk-theme 20181022-1
arch-wiki-man 1.3.0-1
archlinux-keyring 20181018-1
argon2 20171227-3
arj 3.10.22-12
aspell 0.60.6.1-5
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.48-1
audiofile 0.3.6-4
audit 2.8.4-2
autoconf 2.69-4
autogen 5.18.12-2
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
bash 4.4.023-1
bash-completion 2.8-1
beets 1.4.7-3
beets-copyartifacts-git 1:0.1.2.r53.d0bb75c-1
binutils 2.31.1-3
bison 3.1-1
bluez-libs 5.50-3
boost-libs 1.68.0-1
breeze-default-cursor-theme 2.0-3
brotli 1.0.6-1
btrfs-progs 4.17.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.39-1
ca-certificates-utils 20180821-1
cabextract 1.6-3
cairo 1.16.0-1
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
cava 0.6.1-1
cifs-utils 6.8-2
cmake 3.12.3-1
colord 1.4.3-2
compton 2.0-2
coreutils 8.30-1
cracklib 2.9.6-1
cryptsetup 2.0.4-1
curl 7.61.1-3
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.8-1
dialog 1:1.3_20180621-1
diffutils 3.6-1
dmenu 4.8-1
dmraid 1.0.0.rc16.3-11
dosfstools 4.1-1
double-conversion 3.1.1-1
dunst 1.3.2-1
e2fsprogs 1.44.4-1
egl-wayland 1.1.0-1
eglexternalplatform 1.0+3+g7c8f8e2-1
enchant 2.2.3-1
exo 0.12.3-1
expac 9-1
expat 2.2.6-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 2.28-1
ffmpeg 1:4.0.2-7
fftw 3.3.8-1
file 5.34-1
file-roller 3.30.1-1
filesystem 2018.8-1
findutils 4.6.0-2
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
gamin 0.1.10-9
garcon 0.6.1-1
gawk 4.2.1-1
gc 7.6.8-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
